# phi_mrg_22 logL logPrior
3.572915150430880260e+00 -2.356774020483137108e+06 0.000000000000000000e+00
3.575346479594459836e+00 -2.122843527419710997e+06 0.000000000000000000e+00
3.662474016966218215e+00 -2.088865208828467643e+06 0.000000000000000000e+00
3.576274411594367653e+00 -2.036895615094018634e+06 0.000000000000000000e+00
3.578663270403719565e+00 -1.824105156514456496e+06 0.000000000000000000e+00
3.658491156849011716e+00 -1.736076780483674956e+06 0.000000000000000000e+00
3.580410379814952915e+00 -1.676207086019582581e+06 0.000000000000000000e+00
3.656843571251769731e+00 -1.600060192550169770e+06 0.000000000000000000e+00
3.584694747562802153e+00 -1.341161071931082988e+06 0.000000000000000000e+00
3.586168429532567092e+00 -1.234992866110731848e+06 0.000000000000000000e+00
3.587615805560626647e+00 -1.135242568981130375e+06 0.000000000000000000e+00
3.650008420779447871e+00 -1.097801800818656106e+06 0.000000000000000000e+00
3.588678784970414704e+00 -1.064838825491483323e+06 0.000000000000000000e+00
3.588782558593020866e+00 -1.058095175195517484e+06 0.000000000000000000e+00
3.648911490664478396e+00 -1.026505354478312889e+06 0.000000000000000000e+00
3.590003843854893795e+00 -9.804621866176718613e+05 0.000000000000000000e+00
3.591630510113806185e+00 -8.820168901598192751e+05 0.000000000000000000e+00
3.646327515952060505e+00 -8.687323523835258093e+05 0.000000000000000000e+00
3.592842129938252693e+00 -8.123694402182598133e+05 0.000000000000000000e+00
3.594478890779400082e+00 -7.232719377972343937e+05 0.000000000000000000e+00
3.643630684769117778e+00 -7.193059054598441580e+05 0.000000000000000000e+00
3.643104918742478660e+00 -6.919870915281220805e+05 0.000000000000000000e+00
3.595190481063866628e+00 -6.863243670468187192e+05 0.000000000000000000e+00
3.595336083587771459e+00 -6.788978633773967158e+05 0.000000000000000000e+00
3.642661187965384517e+00 -6.693911484309675870e+05 0.000000000000000000e+00
3.595838553158750894e+00 -6.536176815926508280e+05 0.000000000000000000e+00
3.597249040802024567e+00 -5.855406183055652073e+05 0.000000000000000000e+00
3.640587919258539973e+00 -5.693987684172029840e+05 0.000000000000000000e+00
3.597622526322449499e+00 -5.682273437606702792e+05 0.000000000000000000e+00
3.638592590927545611e+00 -4.818525128094735555e+05 0.000000000000000000e+00
3.600959619382622101e+00 -4.267838459857164999e+05 0.000000000000000000e+00
3.637008132793919213e+00 -4.184031937760056462e+05 0.000000000000000000e+00
3.602266536071571768e+00 -3.778848942030649632e+05 0.000000000000000000e+00
3.602554161379698527e+00 -3.676140602792344871e+05 0.000000000000000000e+00
3.603283567543485333e+00 -3.423615343658187194e+05 0.000000000000000000e+00
3.603429412007224109e+00 -3.374489125753617845e+05 0.000000000000000000e+00
3.634611722923778210e+00 -3.326485423291351181e+05 0.000000000000000000e+00
3.632147681628914437e+00 -2.572908107664710842e+05 0.000000000000000000e+00
3.632147079952461333e+00 -2.572739967620148382e+05 0.000000000000000000e+00
3.631781785585896927e+00 -2.472087988811186515e+05 0.000000000000000000e+00
3.606552078017753793e+00 -2.431881908441355627e+05 0.000000000000000000e+00
3.607212995016968460e+00 -2.259140264251413755e+05 0.000000000000000000e+00
3.630885148208565116e+00 -2.237141314064643229e+05 0.000000000000000000e+00
3.630667995863479547e+00 -2.182829226880993228e+05 0.000000000000000000e+00
3.630151767859393530e+00 -2.057767074941030005e+05 0.000000000000000000e+00
3.629950469250000644e+00 -2.010546034334732103e+05 0.000000000000000000e+00
3.608699266413254669e+00 -1.904833668582058162e+05 0.000000000000000000e+00
3.629316624959251669e+00 -1.867523005334543413e+05 0.000000000000000000e+00
3.629142950650073640e+00 -1.829835479577284132e+05 0.000000000000000000e+00
3.629072897118859498e+00 -1.814816520911686239e+05 0.000000000000000000e+00
3.609333622171090106e+00 -1.768009587443809432e+05 0.000000000000000000e+00
3.628023300022420461e+00 -1.602368392636605422e+05 0.000000000000000000e+00
3.610368836736530529e+00 -1.563222650149283290e+05 0.000000000000000000e+00
3.627692766007134750e+00 -1.540347682799229515e+05 0.000000000000000000e+00
3.627563310189868329e+00 -1.516694203699805075e+05 0.000000000000000000e+00
3.610850072682673773e+00 -1.475834818347694818e+05 0.000000000000000000e+00
3.611040362954143212e+00 -1.442647600999074639e+05 0.000000000000000000e+00
3.611084051254654703e+00 -1.435137631752230809e+05 0.000000000000000000e+00
3.611283799774957615e+00 -1.401321530946822022e+05 0.000000000000000000e+00
3.611830958424606219e+00 -1.313065251304019475e+05 0.000000000000000000e+00
3.612072941300119133e+00 -1.276077425363936636e+05 0.000000000000000000e+00
3.612280699148967766e+00 -1.245321059773871675e+05 0.000000000000000000e+00
3.612447619626225848e+00 -1.221279621506920375e+05 0.000000000000000000e+00
3.612522084137557599e+00 -1.210746933753426856e+05 0.000000000000000000e+00
3.625582578857461602e+00 -1.199520781509660446e+05 0.000000000000000000e+00
3.625561727639500020e+00 -1.196628582204961276e+05 0.000000000000000000e+00
3.625483734957855475e+00 -1.185893001890609157e+05 0.000000000000000000e+00
3.625339664876364054e+00 -1.166404381613257865e+05 0.000000000000000000e+00
3.625120164525372779e+00 -1.137566319141107961e+05 0.000000000000000000e+00
3.625000510592353287e+00 -1.122280471009251924e+05 0.000000000000000000e+00
3.624962441271470936e+00 -1.117481362608700874e+05 0.000000000000000000e+00
3.613244551381499914e+00 -1.114719388958066120e+05 0.000000000000000000e+00
3.624789070989847151e+00 -1.096018243239754520e+05 0.000000000000000000e+00
3.613473707104730259e+00 -1.086594920237388869e+05 0.000000000000000000e+00
3.624703346808916038e+00 -1.085643372845923586e+05 0.000000000000000000e+00
3.624498832772248491e+00 -1.061527133124811953e+05 0.000000000000000000e+00
3.624378494981489229e+00 -1.047755339596997947e+05 0.000000000000000000e+00
3.624310465797622172e+00 -1.040107044219205854e+05 0.000000000000000000e+00
3.624284604199352611e+00 -1.037225499544530321e+05 0.000000000000000000e+00
3.614009389057230237e+00 -1.025235410801191756e+05 0.000000000000000000e+00
3.624061497159614120e+00 -1.012961045421135786e+05 0.000000000000000000e+00
3.614416452705188298e+00 -9.827158533073813305e+04 0.000000000000000000e+00
3.614423430659847281e+00 -9.820178989648082643e+04 0.000000000000000000e+00
3.614630387574575110e+00 -9.617913815558845818e+04 0.000000000000000000e+00
3.614910958709787181e+00 -9.358343748103821417e+04 0.000000000000000000e+00
3.614999299381376208e+00 -9.280103636191412807e+04 0.000000000000000000e+00
3.615100753219867791e+00 -9.192310611580072145e+04 0.000000000000000000e+00
3.615171554451090952e+00 -9.132348152561418829e+04 0.000000000000000000e+00
3.622949960145419368e+00 -9.079518215780780884e+04 0.000000000000000000e+00
3.622869828115149904e+00 -9.014036380961399118e+04 0.000000000000000000e+00
3.615328719737646690e+00 -9.003077670919112279e+04 0.000000000000000000e+00
3.615415139877430573e+00 -8.934249086615361739e+04 0.000000000000000000e+00
3.622690034779727508e+00 -8.872115804861055221e+04 0.000000000000000000e+00
3.615653637284099720e+00 -8.752593992456166598e+04 0.000000000000000000e+00
3.615664457136761545e+00 -8.744641618341834692e+04 0.000000000000000000e+00
3.615715964612318700e+00 -8.707128267695529212e+04 0.000000000000000000e+00
3.621977660610329774e+00 -8.377825540276186075e+04 0.000000000000000000e+00
3.621903276019523776e+00 -8.332476629696234886e+04 0.000000000000000000e+00
3.621737542979770019e+00 -8.235696115014482348e+04 0.000000000000000000e+00
3.621709598621971171e+00 -8.219957168288869434e+04 0.000000000000000000e+00
3.616543913423318379e+00 -8.182060846226377180e+04 0.000000000000000000e+00
3.616548543867351473e+00 -8.179536950325351791e+04 0.000000000000000000e+00
3.621559645666472704e+00 -8.138355214298542705e+04 0.000000000000000000e+00
3.616692152220394529e+00 -8.103539516134053702e+04 0.000000000000000000e+00
3.621483453700105049e+00 -8.098737004098133184e+04 0.000000000000000000e+00
3.616707775001477998e+00 -8.095538209610714694e+04 0.000000000000000000e+00
3.621452742455062879e+00 -8.083119208379386691e+04 0.000000000000000000e+00
3.616801790691229535e+00 -8.048490740515742800e+04 0.000000000000000000e+00
3.621376339841728242e+00 -8.045141604990515043e+04 0.000000000000000000e+00
3.621313942079898318e+00 -8.015052412980231747e+04 0.000000000000000000e+00
3.621262869547442254e+00 -7.991044703354290687e+04 0.000000000000000000e+00
3.616932347212339582e+00 -7.986295582287735306e+04 0.000000000000000000e+00
3.621244478945794043e+00 -7.982536548090535507e+04 0.000000000000000000e+00
3.621111283145728166e+00 -7.923076429885698599e+04 0.000000000000000000e+00
3.617080878544529643e+00 -7.919974348568479763e+04 0.000000000000000000e+00
3.617322397546161028e+00 -7.822215835577898542e+04 0.000000000000000000e+00
3.620825971537895427e+00 -7.808490321943211893e+04 0.000000000000000000e+00
3.620778337651713308e+00 -7.791057207485652179e+04 0.000000000000000000e+00
3.620543792652751502e+00 -7.712301924606764806e+04 0.000000000000000000e+00
3.620448748301690056e+00 -7.683740893471066374e+04 0.000000000000000000e+00
3.617820663969586459e+00 -7.659988220909817028e+04 0.000000000000000000e+00
3.620351438367483965e+00 -7.656502486935241905e+04 0.000000000000000000e+00
3.617846639256625085e+00 -7.652988581006854656e+04 0.000000000000000000e+00
3.617853769441870870e+00 -7.651092453105811728e+04 0.000000000000000000e+00
3.620308642641161256e+00 -7.645165127057963400e+04 0.000000000000000000e+00
3.617878560580870317e+00 -7.644584455465975043e+04 0.000000000000000000e+00
3.617907820132499008e+00 -7.637072713391587604e+04 0.000000000000000000e+00
3.620174660387359022e+00 -7.612205894429032924e+04 0.000000000000000000e+00
3.618033744062932211e+00 -7.606836093328200513e+04 0.000000000000000000e+00
3.618036947369827061e+00 -7.606111193648842163e+04 0.000000000000000000e+00
3.618060244996270214e+00 -7.600905086840289005e+04 0.000000000000000000e+00
3.620121781782430936e+00 -7.600255500867945375e+04 0.000000000000000000e+00
3.620060492710893030e+00 -7.587153302237820753e+04 0.000000000000000000e+00
3.620036026766546566e+00 -7.582147607242125378e+04 0.000000000000000000e+00
3.619982703693431336e+00 -7.571681754252857354e+04 0.000000000000000000e+00
3.618205733123163181e+00 -7.571022522011034016e+04 0.000000000000000000e+00
3.618283281548492880e+00 -7.556945700332248816e+04 0.000000000000000000e+00
3.618296933550042560e+00 -7.554600811423157575e+04 0.000000000000000000e+00
3.618299648392424572e+00 -7.554139261727043777e+04 0.000000000000000000e+00
3.618320755010016487e+00 -7.550604745858084061e+04 0.000000000000000000e+00
3.618339403368335372e+00 -7.547561240671545966e+04 0.000000000000000000e+00
3.619840392268760532e+00 -7.546729837853019126e+04 0.000000000000000000e+00
3.619832792526160414e+00 -7.545519291740105837e+04 0.000000000000000000e+00
3.619793778493152647e+00 -7.539499482072086539e+04 0.000000000000000000e+00
3.619782911033000872e+00 -7.537880669367359951e+04 0.000000000000000000e+00
3.618408752459537858e+00 -7.536896295139186259e+04 0.000000000000000000e+00
3.619750238395527564e+00 -7.533166027460590703e+04 0.000000000000000000e+00
3.619714297149981608e+00 -7.528243677649367601e+04 0.000000000000000000e+00
3.619707996467300237e+00 -7.527409251862039673e+04 0.000000000000000000e+00
3.619690887772125443e+00 -7.525186342795405653e+04 0.000000000000000000e+00
3.619676070141321755e+00 -7.523311742838768987e+04 0.000000000000000000e+00
3.619653907039127816e+00 -7.520595581585861510e+04 0.000000000000000000e+00
3.619616755960099574e+00 -7.516278450384901953e+04 0.000000000000000000e+00
3.618579405829021045e+00 -7.515035899537609657e+04 0.000000000000000000e+00
3.619590008236145628e+00 -7.513353173182955652e+04 0.000000000000000000e+00
3.618604235404530023e+00 -7.512374786236762884e+04 0.000000000000000000e+00
3.619559877462150244e+00 -7.510241339291067561e+04 0.000000000000000000e+00
3.619559592710714924e+00 -7.510212857844315295e+04 0.000000000000000000e+00
3.618627525401562295e+00 -7.509998629681637976e+04 0.000000000000000000e+00
3.618627845658412223e+00 -7.509966764862999844e+04 0.000000000000000000e+00
3.618644197587921330e+00 -7.508368965102086077e+04 0.000000000000000000e+00
3.619516069201069275e+00 -7.506063621823559515e+04 0.000000000000000000e+00
3.618669637155063068e+00 -7.505996975738048786e+04 0.000000000000000000e+00
3.618670138213599508e+00 -7.505951648147396918e+04 0.000000000000000000e+00
3.619512660824776518e+00 -7.505755811496480601e+04 0.000000000000000000e+00
3.618680374445051751e+00 -7.505037405065627536e+04 0.000000000000000000e+00
3.619501706349609993e+00 -7.504783353560185060e+04 0.000000000000000000e+00
3.619500393151815487e+00 -7.504668501780874794e+04 0.000000000000000000e+00
3.619498003354728599e+00 -7.504460438213990710e+04 0.000000000000000000e+00
3.618690715772015398e+00 -7.504136551948089618e+04 0.000000000000000000e+00
3.618706349520350862e+00 -7.502818130434956402e+04 0.000000000000000000e+00
3.618707860917346419e+00 -7.502693445221247384e+04 0.000000000000000000e+00
3.618714947509253932e+00 -7.502115346570344991e+04 0.000000000000000000e+00
3.618715336203238042e+00 -7.502083949309158197e+04 0.000000000000000000e+00
3.618722935833029730e+00 -7.501476577129475481e+04 0.000000000000000000e+00
3.619440821368245853e+00 -7.499846587254529004e+04 0.000000000000000000e+00
3.619424931773604470e+00 -7.498688774761170498e+04 0.000000000000000000e+00
3.619422030382327460e+00 -7.498483197179847048e+04 0.000000000000000000e+00
3.619417992735117107e+00 -7.498200109159752901e+04 0.000000000000000000e+00
3.618769912238820385e+00 -7.497996571707772091e+04 0.000000000000000000e+00
3.619404887672519777e+00 -7.497305330992993549e+04 0.000000000000000000e+00
3.619393636716552454e+00 -7.496566476252183202e+04 0.000000000000000000e+00
3.618793271754496832e+00 -7.496441958486825752e+04 0.000000000000000000e+00
3.618794328308148511e+00 -7.496374404261406744e+04 0.000000000000000000e+00
3.619389008273265151e+00 -7.496270391127980838e+04 0.000000000000000000e+00
3.618796918490238212e+00 -7.496209803469847247e+04 0.000000000000000000e+00
