phi	logL
6.85261381030371929945e-01       -3.956406e+03
6.85295999874113603845e-01       -3.956374e+03
6.88287348577840019104e-01       -3.956278e+03
6.88277488310662488580e-01       -3.956270e+03
6.88227610744392315212e-01       -3.956229e+03
6.85485446980435120246e-01       -3.956214e+03
6.88161239600278751283e-01       -3.956177e+03
6.85555514143672439786e-01       -3.956160e+03
6.85567195216836955396e-01       -3.956151e+03
6.88092837015437996939e-01       -3.956126e+03
6.88074330543523071668e-01       -3.956113e+03
6.88028015907515944072e-01       -3.956080e+03
6.87954477612411352538e-01       -3.956031e+03
6.87943015094467091863e-01       -3.956024e+03
6.87887881025590175454e-01       -3.955990e+03
6.87811605901592626466e-01       -3.955945e+03
6.85939953104544253293e-01       -3.955914e+03
6.85957616718005924739e-01       -3.955905e+03
6.87723743899683825909e-01       -3.955898e+03
6.87706799605073082482e-01       -3.955890e+03
6.87653261693472073190e-01       -3.955864e+03
6.87637636912186378524e-01       -3.955856e+03
6.86072067035330301898e-01       -3.955849e+03
6.86105582669652602767e-01       -3.955835e+03
6.86129851218025388349e-01       -3.955824e+03
6.87533440889216862502e-01       -3.955812e+03
6.87505593951565630029e-01       -3.955801e+03
6.86189942557011045565e-01       -3.955800e+03
6.87476021830901617982e-01       -3.955790e+03
6.87465189717487934473e-01       -3.955786e+03
6.87429652688567038865e-01       -3.955773e+03
6.86266858504877008684e-01       -3.955773e+03
6.87418155706268629856e-01       -3.955770e+03
6.86310395589430188856e-01       -3.955758e+03
6.86326895987432683555e-01       -3.955753e+03
6.86331658882793571586e-01       -3.955752e+03
6.86338583283443326444e-01       -3.955750e+03
6.87353098769703407811e-01       -3.955749e+03
6.86347035903862812134e-01       -3.955747e+03
6.86366818694323588268e-01       -3.955742e+03
6.87321502927357164126e-01       -3.955740e+03
6.86403478386306886705e-01       -3.955732e+03
6.86408452024750315168e-01       -3.955731e+03
6.87276378266621357227e-01       -3.955728e+03
6.87275484701388106323e-01       -3.955728e+03
6.87255226058517076915e-01       -3.955723e+03
6.86441011167940873250e-01       -3.955723e+03
6.86452096719491922094e-01       -3.955720e+03
6.86482345982354247305e-01       -3.955713e+03
6.86501068918969559185e-01       -3.955710e+03
6.87185560439148690470e-01       -3.955708e+03
6.87177243211104848974e-01       -3.955706e+03
6.87175139874655060979e-01       -3.955706e+03
6.87174582777517306553e-01       -3.955706e+03
6.87168075218515639335e-01       -3.955705e+03
6.86531426715998538413e-01       -3.955704e+03
6.87153993739230917193e-01       -3.955702e+03
6.87145134952674485618e-01       -3.955701e+03
6.87133941499256106766e-01       -3.955699e+03
6.87133541265424918620e-01       -3.955699e+03
6.87119299746796752260e-01       -3.955696e+03
6.87099088249658707106e-01       -3.955693e+03
6.87087335963756373758e-01       -3.955692e+03
6.86611396189262146450e-01       -3.955691e+03
6.86615886099385730468e-01       -3.955690e+03
6.86619844991385175348e-01       -3.955690e+03
6.87073084568948444506e-01       -3.955690e+03
6.87072042796823656552e-01       -3.955689e+03
6.87058363062864829729e-01       -3.955688e+03
6.87057262310301841701e-01       -3.955688e+03
6.86641047722612474224e-01       -3.955687e+03
6.87051736388532563460e-01       -3.955687e+03
6.87047117315396582704e-01       -3.955686e+03
6.87045813435774088695e-01       -3.955686e+03
6.86650030732102623077e-01       -3.955686e+03
6.87038569536031817897e-01       -3.955685e+03
6.87038203495678345689e-01       -3.955685e+03
6.87031690137801187568e-01       -3.955685e+03
6.86667461479506191502e-01       -3.955684e+03
6.87021739432620792698e-01       -3.955684e+03
6.86676187387719294541e-01       -3.955683e+03
6.86677403011147324818e-01       -3.955683e+03
6.87010514078107648039e-01       -3.955682e+03
6.86684310180179169336e-01       -3.955682e+03
6.86689851514412974431e-01       -3.955682e+03
6.86693376413951561688e-01       -3.955682e+03
6.86696003796269160979e-01       -3.955681e+03
6.86696048812225012803e-01       -3.955681e+03
6.86700773795332009009e-01       -3.955681e+03
6.86991888658158189607e-01       -3.955681e+03
6.86713463429822978945e-01       -3.955680e+03
